id_anuncio,id_host,nombre_host,cantidad_anuncios_host,cantidad_total_anuncios_host,barrio,latitud,longitud,tipo_alojamiento,capacidad,precio,noches_minimas,noches_maximas,puntuacion_general,puntuacion_ubicacion,puntuacion_valor,licencia,last_scraped,precio_por_persona,tipo_host,tipo_licencia
18674,71615,Mireia,41,46,la Sagrada Família,41.40556,2.17262,Entire home/apt,8,210.0,1,1125,4.34,4.82,4.32,ESFCTU000008058000039706000000000000000HUTB-002062349,2025-09-15,26.25,professional,Licensed
23197,90417,Etain (Marnie),6,9,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,5,285.0,3,32,4.82,4.66,4.68,ESFCTU000008106000547162000000000000000000HUTB0050572,2025-09-14,57.0,professional,Licensed
32711,135703,Nick,3,15,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,6,170.0,1,31,4.46,4.89,4.47,HUTB-001722,2025-09-15,28.33,professional,Licensed
34241,73163,Andres,5,5,el Barri Gòtic,41.38062,2.17517,Entire home/apt,2,110.0,31,180,4.36,4.73,4.23,Exempt,2025-09-15,55.0,professional,Exempt
34981,73163,Andres,5,5,el Barri Gòtic,41.37978,2.17623,Entire home/apt,9,333.0,5,365,4.57,4.65,4.46,ESFCTU000008119000093652000000000000000HUTB-001506712,2025-09-15,37.0,professional,Licensed
36763,158596,Ester,1,1,la Barceloneta,41.38043,2.19094,Private room,1,,31,65,4.79,4.92,4.82,,2025-09-15,,individual,No license
40983,177617,Joaquin,7,16,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,4,204.0,2,364,4.53,4.9,4.51,HUTB-001282,2025-09-15,51.0,professional,Licensed
49968,135703,Nick,3,15,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,6,170.0,1,31,4.62,4.89,4.57,HUTB-001723,2025-09-15,28.33,professional,Licensed
68547,340570,Audun,2,5,el Barri Gòtic,41.3806,2.17796,Entire home/apt,4,128.0,31,730,4.75,4.9,4.67,,2025-09-15,32.0,professional,No license
71520,366428,Ariadna,1,2,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,9,315.0,5,28,5.0,4.0,5.0,HUTB-007966,2025-09-14,35.0,professional,Licensed
71553,366654,Watermelon Barcelona Apartments,2,18,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,2,199.0,2,91,4.23,4.57,4.13,HUTB-002424,2025-09-15,99.5,professional,Licensed
71736,368317,Nacharosa,8,13,el Raval,41.38174,2.16663,Entire home/apt,4,70.0,31,730,3.88,4.25,3.75,,2025-09-15,17.5,professional,No license
72436,375625,Xavier,6,9,el Poblenou,41.39909,2.20733,Entire home/apt,3,272.0,1,28,4.73,4.8,4.51,HUTB-000173,2025-09-15,90.67,professional,Licensed
75411,400154,Mireia,10,10,el Clot,41.40682,2.18649,Entire home/apt,3,153.0,3,330,4.5,4.79,4.42,ESFCTU00000807300091781600000000000000000HUTB-0000835,2025-09-14,51.0,professional,Licensed
80004,431839,Xavier,1,1,el Poble Sec,41.37371,2.16706,Entire home/apt,5,126.0,5,1125,4.69,4.73,4.64,HUTB-004026,2025-09-15,25.2,individual,Licensed
83283,700165,Wonderful Barcelona,4,6,Sant Antoni,41.38237,2.16146,Private room,2,82.0,3,365,4.38,4.84,4.32,,2025-09-15,41.0,professional,No license
89776,3556337,Alejandro,84,89,la Dreta de l'Eixample,41.39224,2.17806,Entire home/apt,3,180.0,1,365,4.78,4.94,4.71,HUTB-002215,2025-09-15,60.0,professional,Licensed
110041,396363,Alcam Apartments,118,133,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,4,94.0,1,1125,4.28,4.71,4.13,ESFCTU000008057000631118000000000000000HUTB-003671797,2025-09-15,23.5,professional,Licensed
112538,567180,Sandra,7,20,la Sagrada Família,41.40653,2.1746,Entire home/apt,8,437.0,1,32,4.47,4.85,4.44,HUTB-000333,2025-09-15,54.62,professional,Licensed
128463,635253,Sebastian,1,1,Sants,41.37155,2.13664,Entire home/apt,2,140.0,3,1125,4.85,4.73,4.8,ESFCTU00000806500059196700000000000000000HUTB-0126036,2025-09-14,70.0,individual,Licensed
135513,664196,Teresa,1,2,el Poblenou,41.39787,2.20429,Entire home/apt,6,175.0,1,330,4.72,4.87,4.63,HUTb-005204,2025-09-15,29.17,professional,Licensed
136670,610674,Maria,3,8,Pedralbes,41.38832,2.12201,Private room,1,45.0,32,1125,4.63,4.8,4.62,,2025-09-14,45.0,professional,No license
144471,700165,Wonderful Barcelona,4,6,Sant Antoni,41.38189,2.15857,Private room,2,81.0,3,365,4.34,4.64,4.11,,2025-09-15,40.5,professional,No license
147275,711907,Antuan,2,2,el Guinardó,41.42337,2.1749,Private room,1,17.0,31,1125,4.27,4.59,4.38,Exempt,2025-09-14,17.0,professional,Exempt
171646,400154,Mireia,10,10,el Clot,41.40671,2.18592,Entire home/apt,4,154.0,3,330,4.84,4.82,4.62,ESFCTU00000807300091789200000000000000000HUTB-0046639,2025-09-14,38.5,professional,Licensed
171816,400154,Mireia,10,10,el Clot,41.40681,2.18553,Entire home/apt,3,154.0,3,330,4.77,4.82,4.6,ESFCTU00000807300091788500000000000000000HUTB-0046648,2025-09-14,51.33,professional,Licensed
174382,567180,Sandra,7,20,la Sagrada Família,41.40653,2.17455,Entire home/apt,8,319.0,32,32,4.52,4.85,4.5,HUTB000327,2025-09-15,39.88,professional,Licensed
188267,366654,Watermelon Barcelona Apartments,2,18,la Dreta de l'Eixample,41.39316177368164,2.175757884979248,Entire home/apt,6,339.0,2,90,4.68,4.82,4.5,hutb-005119,2025-09-15,56.5,professional,Licensed
196021,953719,Julia,2,11,l'Antiga Esquerra de l'Eixample,41.38842,2.16108,Entire home/apt,8,463.0,2,60,4.95,4.94,4.91,HUTB-005067,2025-09-15,57.88,professional,Licensed
197267,632830,"M Angeles, Federico",3,15,la Vila de Gràcia,41.40661,2.15115,Entire home/apt,3,41.0,31,300,4.54,4.71,4.52,,2025-09-15,13.67,professional,No license
198958,971768,Akira Flats,15,39,Diagonal Mar i el Front Marítim del Poblenou,41.40805,2.21487,Entire home/apt,8,500.0,2,365,4.73,4.82,4.66,ESFCTU00000807200054412100000000000000000HUTB-0009269,2025-09-14,62.5,professional,Licensed
206122,1013855,Alejandro,6,13,la Vila de Gràcia,41.39877,2.15887,Entire home/apt,4,191.0,4,180,4.75,4.91,4.73,ESFCTU00000806600003878000000000000000000HUTB-0043159,2025-09-15,47.75,professional,Licensed
206167,1014050,Minerva,2,2,el Poble Sec,41.3724,2.1648,Entire home/apt,2,156.0,3,365,4.9,4.89,4.81,HUTB-009804,2025-09-15,78.0,professional,Licensed
