zona,barrio
Ciutat Vella,el barri gòtic
Ciutat Vella,el raval
Ciutat Vella,la barceloneta
Ciutat Vella,"sant pere, santa caterina i la ribera"
Eixample,el fort pienc
Eixample,la dreta de l'eixample
Eixample,la nova esquerra de l'eixample
Eixample,l'antiga esquerra de l'eixample
Eixample,la sagrada família
Eixample,sant antoni
Gràcia,el camp d'en grassot i gràcia nova
Gràcia,el coll
Gràcia,la salut
Gràcia,la vila de gràcia
Gràcia,vallcarca i els penitents
Horta-Guinardó,can baró
Horta-Guinardó,el baix guinardó
Horta-Guinardó,el carmel
Horta-Guinardó,el guinardó
Horta-Guinardó,horta
Horta-Guinardó,la clota
Horta-Guinardó,la font d'en fargues
Horta-Guinardó,la teixonera
Horta-Guinardó,la vall d'hebron
Horta-Guinardó,montbau
Horta-Guinardó,sant genís dels agudells
Les Corts,la maternitat i sant ramon
Les Corts,les corts
Les Corts,pedralbes
Nou Barris,can peguera
Nou Barris,canyelles
Nou Barris,ciutat meridiana
Nou Barris,el turó de la peira
Nou Barris,la guineueta
Nou Barris,la prosperitat
Nou Barris,la trinitat nova
Nou Barris,les roquetes
Nou Barris,porta
Nou Barris,torre baró
Nou Barris,vallbona
Nou Barris,verdun
Nou Barris,vilapicina i la torre llobeta
Sant Andreu,baró de viver
Sant Andreu,el bon pastor
Sant Andreu,el congrés i els indians
Sant Andreu,la sagrera
Sant Andreu,la trinitat vella
Sant Andreu,navas
Sant Andreu,sant andreu
Sant Martí,diagonal mar i el front marítim del poblenou
Sant Martí,el besòs i el maresme
Sant Martí,el camp de l'arpa del clot
Sant Martí,el clot
Sant Martí,el parc i la llacuna del poblenou
Sant Martí,el poblenou
Sant Martí,la verneda i la pau
Sant Martí,la vila olímpica del poblenou
Sant Martí,provençals del poblenou
Sant Martí,sant martí de provençals
Sants-Montjuïc,el poble sec
Sants-Montjuïc,hostafrancs
Sants-Montjuïc,la bordeta
Sants-Montjuïc,la font de la guatlla
Sants-Montjuïc,la marina del prat vermell
Sants-Montjuïc,la marina de port
Sants-Montjuïc,sants
Sants-Montjuïc,sants - badal
Sarrià-Sant Gervasi,el putxet i el farró
Sarrià-Sant Gervasi,les tres torres
Sarrià-Sant Gervasi,sant gervasi - galvany
Sarrià-Sant Gervasi,sant gervasi - la bonanova
Sarrià-Sant Gervasi,sarrià
Sarrià-Sant Gervasi,"vallvidrera, el tibidabo i les planes"
